week,article_title_de,target_keyword,channel,status,word_count_target,priority
W1,Vorteile von kabellosen Hilti Nuron Bohrhammern,akku bohrhammer kabellos,Blog + Newsletter,Live,1400,High
W2,Heavy-Duty kabellos: Was die Nuron-Plattform anders macht,heavy duty kabellos,Blog + LinkedIn,Live,1600,High
W3,ON!Track Praxisbeispiel: 20 Prozent weniger Stillstand,on track fleet management,Case Study + Email,Draft,2000,High
W4,Winterwochen 2026: Jetzt sparen auf Heavy-Duty Werkzeuge,winterwochen hilti,Landing Page + Ads,Live,800,Critical
W5,Akku-Saebelsaege SSM 22 im Praxistest,akku saebelsaege ssm 22,Blog + YouTube,Planning,1500,Medium
W6,Diamantbohren mit Hilti: Komplett-Guide,diamantbohrer hilti,Pillar Page,Planning,2400,High
W7,5 Phasen der Baustellenplanung,baustellenplanung phasen,Blog,Live,1800,Medium
W8,Akku-Abbruchhammer im Vergleich,akku abbruchhammer test,Comparison Article,Draft,2200,High
W9,Nachhaltigkeit auf der Baustelle: Hilti CO2-Bilanz,nachhaltigkeit baustelle,Blog + Newsletter,Planning,1600,Medium
W10,Heavy-Duty Werkzeuge mieten oder kaufen,heavy duty werkzeuge mieten,Decision Guide,Planning,1400,Medium
