keyword,monthly_search_volume,keyword_difficulty,current_rank,target_rank,intent,opportunity_score
nuron akku plattform,1900,38,4,2,Commercial,82
akku bohrhammer kabellos,4400,52,7,3,Transactional,76
heavy duty kabellos,2400,42,3,1,Commercial,88
abbruchhammer akku,3600,48,11,5,Transactional,68
on track fleet management,880,28,2,1,Informational,71
winterwochen hilti,720,22,1,1,Transactional,65
hilti akku werkzeuge,8100,58,5,2,Commercial,84
akku saege heavy duty,1900,44,9,4,Transactional,72
diamantbohrer hilti,1300,32,3,1,Commercial,79
baustellenplanung phasen,2900,36,6,3,Informational,74
kabelloses werkzeug baustelle,1100,46,12,5,Commercial,64
hilti ssm 22,580,18,4,2,Transactional,58
akku abbruchhammer test,1700,54,15,7,Informational,52
nuron vs konkurrenz,210,24,3,1,Commercial,48
heavy duty werkzeuge mieten,890,38,8,4,Commercial,67
