page_url,page_title,target_keyword,word_count,h1_present,meta_description_length,page_speed_mobile,page_speed_desktop,images_with_alt_pct,internal_links,backlinks_estimated,seo_score,priority_fix
/de/de/produkte/nuron-akku-plattform.html,Nuron Akku-Plattform - Hilti,nuron akku plattform,820,Yes,142,68,89,72,18,340,72,Improve mobile speed
/de/de/produkte/akku-bohrhammer.html,Akku-Bohrhammer - Hilti Deutschland,akku bohrhammer kabellos,1240,Yes,158,71,91,85,24,510,81,Add FAQ schema
/de/de/produkte/abbruchhammer-akku.html,Akku Abbruchhammer Heavy-Duty,akku abbruchhammer heavy duty,690,Yes,98,62,84,68,15,180,64,Expand content + meta
/de/de/aktionen/winterwochen.html,Winterwochen 2026 - Sonderaktionen,winterwochen hilti,540,Yes,176,74,93,78,12,95,68,Add product schema
/de/de/services/on-track-fleet-management.html,ON!Track Asset Management Software,on track fleet management baustelle,1580,Yes,162,69,88,92,32,720,86,Optimize images
/de/de/produkte/akku-saege.html,Akku-Säge kabellos,akku saege heavy duty,720,Yes,134,65,87,74,17,260,69,Improve internal linking
/de/de/wissen/baustellenplanung.html,Baustellenplanung Tipps,baustellenplanung phasen,1820,Yes,154,76,94,81,28,420,84,Refresh content
/de/de/produkte/diamantbohren.html,Diamantbohren - Werkzeuge,diamantbohrer hilti,610,Yes,118,63,86,69,14,210,66,Compress hero image
/de/de/produkte/akku-saege-ssm-22.html,SSM 22-A Akku Säbelsäge,akku saebelsaege ssm 22,480,No,88,67,89,71,11,140,58,Add H1 + expand
/de/de/aktionen/heavy-duty-launch.html,Heavy Duty kabellos Launch,heavy duty kabellos hilti,890,Yes,168,72,92,82,21,380,79,Add internal CTAs
